,id,name,allows_anonymous_bookings,pre_booking_notice,root_activity_category,category_slug,duration,instructors,date,location,slot_display_location,price,starts_at,ends_at,last_bookable_at,venue_name,pricing_option_id,cart_type,composite_key,booking,spaces,capacity,action_to_show,waitlist_id,restrictions,has_pre_purchase_restrictions,requires_induction,restriction_ids,benefit_available,tags
0,46662837,Tennis Court - Indoor,False,null,"{'id': 39, 'name': 'Tennis Activities', 'slug': 'tennis-activities', 'path': 'tennis-activities', 'type': 'group', 'allocation_strategy': 'customer', 'image': '', 'lft': 295, 'rgt': 350, 'parent_slug': 'null', 'parent_name': 'null', 'has_children': True, 'is_root': True, 'allows_multi_member_pricing': False}",tennis-court-indoor,60min,[],"{'raw': '2024-02-20', 'raw_pretty': '20\\/02\\/2024', 'day_pretty': 'Tue', 'date_pretty': '20 Feb', 'full_date_pretty': 'Tue 20 February 2024', 'full_date': '20 February 2024', 'difference': '4 days from now', 'tz': 'Europe\\/London'}","{'id': '3915', 'name': 'Tennis Court 2', 'type': 'resource', 'slug': 'tennis-court-2', 'venue_id': 90207, 'venue_slug': 'indoor-tennis-centre-and-ozone-complex'}",Multiple,"{'benefit_applied': False, 'package_applied': False, 'formatted': '£5.50', 'raw': 550}","{'format_12_hour': '2:00pm', 'format_24_hour': '14:00'}","{'format_12_hour': '3:00pm', 'format_24_hour': '15:00'}","{'format_12_hour': '2:10pm', 'format_24_hour': '14:10'}",Indoor Tennis Centre and Ozone Complex,3013,activity,567d403c,null,1,1,"{'status': 'BOOK', 'reason': 'null'}",null,"{'pre_waiver': 'null', 'pre_induction': 'null', 'post_waiver': 'null', 'post_induction': 'null', 'enhanced_pre_waiver': 'null', 'criteria': 'null'}",False,False,[],Belfast Racquets,[]
1,46662947,Tennis Court - Indoor,False,null,"{'id': 39, 'name': 'Tennis Activities', 'slug': 'tennis-activities', 'path': 'tennis-activities', 'type': 'group', 'allocation_strategy': 'customer', 'image': '', 'lft': 295, 'rgt': 350, 'parent_slug': 'null', 'parent_name': 'null', 'has_children': True, 'is_root': True, 'allows_multi_member_pricing': False}",tennis-court-indoor,60min,[],"{'raw': '2024-02-20', 'raw_pretty': '20\\/02\\/2024', 'day_pretty': 'Tue', 'date_pretty': '20 Feb', 'full_date_pretty': 'Tue 20 February 2024', 'full_date': '20 February 2024', 'difference': '4 days from now', 'tz': 'Europe\\/London'}","{'id': '3917', 'name': 'Tennis Court 4', 'type': 'resource', 'slug': 'tennis-court-4', 'venue_id': 90207, 'venue_slug': 'indoor-tennis-centre-and-ozone-complex'}",Multiple,"{'benefit_applied': False, 'package_applied': False, 'formatted': '£5.50', 'raw': 550}","{'format_12_hour': '2:00pm', 'format_24_hour': '14:00'}","{'format_12_hour': '3:00pm', 'format_24_hour': '15:00'}","{'format_12_hour': '2:10pm', 'format_24_hour': '14:10'}",Indoor Tennis Centre and Ozone Complex,3013,activity,567d403c,null,0,1,"{'status': 'FULL', 'reason': 'The session being booked is already full'}",null,"{'pre_waiver': 'null', 'pre_induction': 'null', 'post_waiver': 'null', 'post_induction': 'null', 'enhanced_pre_waiver': 'null', 'criteria': 'null'}",False,False,[],Belfast Racquets,[]
2,46662960,Tennis Court - Indoor,False,null,"{'id': 39, 'name': 'Tennis Activities', 'slug': 'tennis-activities', 'path': 'tennis-activities', 'type': 'group', 'allocation_strategy': 'customer', 'image': '', 'lft': 295, 'rgt': 350, 'parent_slug': 'null', 'parent_name': 'null', 'has_children': True, 'is_root': True, 'allows_multi_member_pricing': False}",tennis-court-indoor,60min,[],"{'raw': '2024-02-20', 'raw_pretty': '20\\/02\\/2024', 'day_pretty': 'Tue', 'date_pretty': '20 Feb', 'full_date_pretty': 'Tue 20 February 2024', 'full_date': '20 February 2024', 'difference': '4 days from now', 'tz': 'Europe\\/London'}","{'id': '3916', 'name': 'Tennis Court 3', 'type': 'resource', 'slug': 'tennis-court-3', 'venue_id': 90207, 'venue_slug': 'indoor-tennis-centre-and-ozone-complex'}",Multiple,"{'benefit_applied': False, 'package_applied': False, 'formatted': '£5.50', 'raw': 550}","{'format_12_hour': '2:00pm', 'format_24_hour': '14:00'}","{'format_12_hour': '3:00pm', 'format_24_hour': '15:00'}","{'format_12_hour': '2:10pm', 'format_24_hour': '14:10'}",Indoor Tennis Centre and Ozone Complex,3013,activity,567d403c,null,0,1,"{'status': 'FULL', 'reason': 'The session being booked is already full'}",null,"{'pre_waiver': 'null', 'pre_induction': 'null', 'post_waiver': 'null', 'post_induction': 'null', 'enhanced_pre_waiver': 'null', 'criteria': 'null'}",False,False,[],Belfast Racquets,[]
3,46663002,Tennis Court - Indoor,False,null,"{'id': 39, 'name': 'Tennis Activities', 'slug': 'tennis-activities', 'path': 'tennis-activities', 'type': 'group', 'allocation_strategy': 'customer', 'image': '', 'lft': 295, 'rgt': 350, 'parent_slug': 'null', 'parent_name': 'null', 'has_children': True, 'is_root': True, 'allows_multi_member_pricing': False}",tennis-court-indoor,60min,[],"{'raw': '2024-02-20', 'raw_pretty': '20\\/02\\/2024', 'day_pretty': 'Tue', 'date_pretty': '20 Feb', 'full_date_pretty': 'Tue 20 February 2024', 'full_date': '20 February 2024', 'difference': '4 days from now', 'tz': 'Europe\\/London'}","{'id': '3914', 'name': 'Tennis Court 1', 'type': 'resource', 'slug': 'tennis-court-1', 'venue_id': 90207, 'venue_slug': 'indoor-tennis-centre-and-ozone-complex'}",Multiple,"{'benefit_applied': False, 'package_applied': False, 'formatted': '£5.50', 'raw': 550}","{'format_12_hour': '2:00pm', 'format_24_hour': '14:00'}","{'format_12_hour': '3:00pm', 'format_24_hour': '15:00'}","{'format_12_hour': '2:10pm', 'format_24_hour': '14:10'}",Indoor Tennis Centre and Ozone Complex,3013,activity,567d403c,null,1,1,"{'status': 'BOOK', 'reason': 'null'}",null,"{'pre_waiver': 'null', 'pre_induction': 'null', 'post_waiver': 'null', 'post_induction': 'null', 'enhanced_pre_waiver': 'null', 'criteria': 'null'}",False,False,[],Belfast Racquets,[]
